id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
342,1750,1750,241.0,100.00,dizhinailao,低脂奶酪,http://s.boohee.cn/house/new_food/mid/d81ffff988a844e59c2a7f6058ecb0ae.jpg,2,False,241.0,21.6,11.6,,,,,,12.6,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
343,872,872,54.0,100.00,niuru_junzhi,全脂牛奶,http://s.boohee.cn/house/new_food/mid/e4ba04daf3814d06a7d0a25890adde36.jpg,1,True,54.0,3.0,3.2,1.6,,1.1,0.2,15.0,3.4,,0.0,37.2,0.0,24.0,0.0,,0.2,,0.0,0.1,,,1.0,0.1,5.0,,,,73.0,109.0,11.0,104.0,0.3,0.4,1.9,1.9,0.0,,0.0
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
380,20,20,214.0,100.00,huajuan,花卷,http://s.boohee.cn/house/new_food/mid/32fbb0ed557b4d388872c26bf93414d9.jpg,1,False,214.0,6.4,1.0,,,,,0.0,45.6,,1.5,95.0,0.0,,,,,,,0.0,,,0.0,1.1,,,,,72.0,83.0,12.0,19.0,0.4,,,6.2,0.1,,
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
344,56,56,116.0,100.00,mifan_zheng,米饭,http://s.boohee.cn/house/upload_food/2019/1/1/mid_photo_url_df59f70395bd540fd1eb80e58a0b9641.jpg,2,False,116.0,2.6,0.3,,,,,0.0,25.9,,0.3,2.5,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,1.9,,,,,62.0,30.0,15.0,7.0,1.3,0.9,,0.4,0.1,,0.6
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
418,1174,1174,270.0,100.00,maiweimianbao,麦维面包,http://s.boohee.cn/house/new_food/mid/576ceedad04a4d12b2c983e05561c0f7.jpg,1,False,270.0,8.3,4.7,,,,,,48.6,,0.1,151.0,0.0,,,,,,0.3,0.7,,,,5.2,,,,,61.0,70.0,45.0,35.0,2.0,0.6,,24.3,0.2,,0.4
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
494,1231,1231,0.4,100.00,chashui,茶水,http://s.boohee.cn/house/new_food/mid/3f38ec24204a4bd6a4379d06c804df91.jpg,1,True,0.4,0.1,0.0,,,,,,0.0,,,3.9,0.0,,,,,,,,,,,,,,,,1.0,6.0,3.0,2.0,0.1,0.0,,0.1,0.0,,0.1
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
419,197,197,34.0,100.00,doujiao,豆角,http://s.boohee.cn/house/new_food/mid/9a515d25ff5149c5b60952bfde5d2b8a.jpg,1,False,34.0,2.5,0.2,,,,,0.0,6.7,,2.1,3.4,0.0,17.0,200.0,,2.2,,0.1,0.1,,,18.0,0.9,,,,,55.0,207.0,35.0,29.0,1.5,0.5,,2.2,0.2,,0.4
id,food_id,food_id,calory,weight,code,name,thumb_image_name,health_light,is_liquid,calory,protein,fat,saturated_fat,fatty_acid,mufa,pufa,cholesterol,carbohydrate,sugar,fiber_dietary,natrium,alcohol,vitamin_a,carotene,vitamin_d,vitamin_e ,vitamin_k,thiamine,lactoflavin,vitamin_b6,vitamin_b12,vitamin_c,niacin,folacin,pantothenic,biotin,choline,phosphor,kalium,magnesium,calcium,iron,zinc,iodine,selenium,copper,fluorine,manganese
