movie_name,download_link
2020年喜剧《波拉特2》BD中字,ftp://ygdy8:ygdy8@yg78.dydytt.net:6010/阳光电影www.ygdy8.com.波拉特2.BD.1080p.中字.mkv
2020年悬疑《圣何塞谋杀案》HD国语中英双字,ftp://ygdy8:ygdy8@yg78.dydytt.net:6011/阳光电影www.ygdy8.com.圣何塞谋杀案.HD.2160p.国粤双语中字.mkv
2020年动作《花木兰》BD国英双语中字,ftp://ygdy8:ygdy8@yg90.dydytt.net:8013/阳光电影www.ygdy8.com.花木兰.BD.1080p.国英双语中字.mkv
2020年剧情爱情《敢梦有爱》BD中英双字幕,ftp://ygdy8:ygdy8@yg05.dydytt.net:8002/阳光电影www.ygdy8.com.敢梦有爱.BD.1080p.中英双字幕.mkv
2020年奇幻冒险《女巫/怪诞黑巫后》BD中英双字幕,ftp://ygdy8:ygdy8@yg78.dydytt.net:7008/阳光电影www.ygdy8.com.女巫.BD.1080p.中英双字幕.mkv
2020年爱情《伤心画廊》BD中英双字幕,ftp://ygdy8:ygdy8@yg90.dydytt.net:6007/阳光电影www.ygdy8.com.伤心画廊.BD.1080p.中英双字幕.mkv
2020年历史战争《八佰》HD国语中英双字,ftp://ygdy8:ygdy8@yg05.dydytt.net:1001/阳光电影www.ygdy8.com.八佰.HD.1080p.国语中英双字.mp4
2020年剧情音乐《云上情歌》BD中英双字幕云上情歌,ftp://ygdy8:ygdy8@yg05.dydytt.net:2002/阳光电影www.ygdy8.com.云上情歌.BD.1080p.中英双字幕.mkv
2020年惊悚《科林尼案/罪人的控诉》BD中字,ftp://ygdy8:ygdy8@yg05.dydytt.net:2002/阳光电影www.ygdy8.com.科林尼案.BD.1080p.中字.mkv
2020年惊悚悬疑《精神错乱》BD中英双字幕,ftp://ygdy8:ygdy8@yg78.dydytt.net:7010/阳光电影www.ygdy8.com.精神错乱.BD.1080p.中英双字幕.mkv
2020年惊悚悬疑《虽然只是弄丢了手机2》BD日语中字,ftp://ygdy8:ygdy8@yg05.dydytt.net:4001/阳光电影www.ygdy8.com.虽然只是弄丢了手机2.BD.1080p.日语中字.mkv
2018年惊悚悬疑《虽然只是弄丢了手机》BD日语中字,ftp://ygdy8:ygdy8@yg72.dydytt.net:7083/阳光电影www.ygdy8.com.虽然只是弄丢了手机.BD.1080p.日语中字.mkv
2020年剧情《再见吧！少年》HD国语中英双字,ftp://ygdy8:ygdy8@yg05.dydytt.net:2001/阳光电影www.ygdy8.com.再见吧！少年.HD.1080p.国语中英双字.mkv
2020年惊悚《母亲/母子情劫》BD日语中字,ftp://ygdy8:ygdy8@yg05.dydytt.net:4002/阳光电影www.ygdy8.com.母亲.BD.1080p.日语中字.mkv
2020年犯罪剧情《恶棍之城》BD中英双字幕,ftp://ygdy8:ygdy8@yg05.dydytt.net:7005/阳光电影www.ygdy8.com.恶棍之城.BD.1080p.中英双字幕.mkv
